Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 306200  Y 407400
X 314500  Y 401200
X 314500  Y 398000
X 297000  Y 388500
X 314600  Y 385400
X 285900  Y 343700
X 285900  Y 297600
X 304400  Y 246600
X 310600  Y 246500
X 288800  Y 229800
X 293400  Y 213000
X 290000  Y 179700
X 285700  Y 170400
X 310400  Y 146000
Drill: .02953  Tool: 2  Feed: 197  Speed: 550
X 125000  Y 537007
Drill: .03346  Tool: 3  Feed: 197  Speed: 550
X 124500  Y 545862
X 124500  Y 553737
X 124500  Y 565362
X 124500  Y 573237
X 124200  Y 584962
X 124200  Y 592837
X 124500  Y 605162
X 124500  Y 613037
X 300200  Y 607874
X 300200  Y 600000
X 300200  Y 592125
X 300200  Y 572874
X 300200  Y 565000
X 300200  Y 557125
X 300200  Y 342874
X 300200  Y 335000
X 300200  Y 327125
X 300200  Y 307874
X 300200  Y 300000
X 300200  Y 292125
X 300000  Y 141937
X 300000  Y 134062
Drill: .035  Tool: 4  Feed: 197  Speed: 550
X 132600  Y 294777
X 132600  Y 302651
X 132600  Y 310525
X 132600  Y 318400
X 132600  Y 326274
X 132600  Y 334148
X 132600  Y 342022
Drill: .038  Tool: 5  Feed: 197  Speed: 550
X 116000  Y 660000
X 145000  Y 660000
X 116000  Y 670000
X 145000  Y 670000
X 116000  Y 680000
X 145000  Y 680000
X 116000  Y 690000
X 145000  Y 690000
X 116000  Y 700000
X 145000  Y 700000
X 116000  Y 710000
X 145000  Y 710000
X 251000  Y 710000
X 280000  Y 710000
X 251000  Y 700000
X 280000  Y 700000
X 280000  Y 690000
X 251000  Y 690000
X 280000  Y 680000
X 251000  Y 680000
X 280000  Y 670000
X 251000  Y 670000
X 251000  Y 660000
X 280000  Y 660000
X 309000  Y 660000
X 309000  Y 670000
X 309000  Y 680000
X 309000  Y 690000
X 309000  Y 700000
X 309000  Y 710000
Drill: .04528  Tool: 6  Feed: 139  Speed: 550
X 125000  Y 362992
X 300000  Y 362992
X 300000  Y 537007
Drill: .04724  Tool: 7  Feed: 139  Speed: 550
X 145000  Y 115500
X 155000  Y 115500
X 165000  Y 115500
X 175000  Y 115500
X 197500  Y 115500
X 207500  Y 115500
X 115500  Y 202500
X 115500  Y 212500
X 115500  Y 222500
X 115500  Y 232500
X 309500  Y 232500
X 309500  Y 222500
X 309500  Y 212500
X 309500  Y 202500
X 270000  Y 115500
X 280000  Y 115500
X 260000  Y 115500
X 250000  Y 115500
X 227500  Y 115500
X 217500  Y 115500
Drill: .05512  Tool: 8  Feed: 107  Speed: 550
X 202500  Y 697502
X 186200  Y 697502
X 218799  Y 697502
Drill: .125  Tool: 9  Feed: 35  Speed: 794
X 115000  Y 115300
X 115000  Y 264900
X 115000  Y 634900
X 115000  Y 732500
X 310000  Y 732500
X 310000  Y 634900
X 310000  Y 264900
X 310000  Y 115300
Drill: .15197  Tool: 10  Feed: 35  Speed: 900
X 202500  Y 726400
End of Listing
